date,description,amount
2026-01-01,Blue Tokai Coffee,450.00
2026-01-02,Ola Trip,350.20
2026-01-05,Apartment Rent,35000.00
2026-01-10,Myntra Shopping,2500.00
2026-01-12,Netflix India,799.00
2026-01-15,BESCOM Electricity,4500.50
2026-01-18,Zudio Shopping,3200.00
2026-01-20,BigBasket Grocery,4500.30
2026-01-22,Shell Petrol,2500.00
2026-01-25,Swiggy Order,1200.00
2026-02-01,Third Wave Coffee,520.00
2026-02-03,Uber India,420.50
2026-02-05,Apartment Rent,35000.00
2026-02-08,Steam Games,1500.00
2026-02-12,Spotify Premium,129.00
2026-02-15,Airtel Bill,1500.00
2026-02-18,Pantaloons,5500.00
2026-02-20,Reliance Fresh,3500.40
2026-02-22,IRCTC Train Ticket,1200.00
2026-02-24,Indigo Flight,8500.00
